"Total Fuel Consumption
Quantity","Electric Fuel Consumption
Quantity","Total Fuel Consumption
MMBtu","Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",YEAR
0,0,"11,475,085","11,475,085","3,363,155",2023
0,0,"4,250,371","4,250,371","1,245,713",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"3,230,909","3,230,909","3,324,700","3,324,700","261,671",2023
0,0,0,0,0,2023
"12,987,218","12,987,218","13,490,759","13,490,759","1,205,714",2023
"316,485","316,485","5,714,190","5,714,190","514,992",2023
0,0,"19,475","19,475","5,677",2023
0,0,"10,252","10,252","2,998",2023
0,0,0,0,"917,298",2023
"18,420,303","18,420,303","18,930,259","18,930,259","1,953,390",2023
"627,239","627,239","644,365","644,365","44,524",2023
"528,543","528,543","8,976,071","8,976,071","701,813",2023
0,0,"513,971","513,971","150,636",2023
"1,780,832","1,780,832","1,830,033","1,830,033","169,122",2023
0,0,0,0,0,2023
0,0,"135,323","135,323","39,661",2023
0,0,"10,675","10,675","3,129",2023
0,0,"401,472","401,472","117,665",2023
0,0,"343,015","343,015","100,532",2023
0,0,0,0,"100,532",2023
0,0,"715,377","715,377","209,665",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,"159,494","159,494","46,682",2023
0,0,"338,724","338,724","99,274",2023
0,0,"801,444","801,444","234,890",2023
0,0,"2,560,538","2,560,538","750,451",2023
0,0,"1,454,193","1,454,193","426,200",2023
0,0,0,0,0,2023
0,0,0,0,"114,954",2023
0,0,0,0,0,2023
"3,475,386","3,475,386","3,561,063","3,561,063","289,577",2023
0,0,0,0,0,2023
"495,494","495,494","509,249","509,249","41,108",2023
0,0,0,0,0,2023
0,0,"84,676,209","84,676,209","8,101,628",2023
0,0,"107,672,537","107,672,537","10,301,865",2023
0,0,"8,613","8,613","2,524",2023
0,0,"24,707","24,707","7,241",2023
0,0,"629,037","629,037","184,360",2023
0,0,"1,670,866","1,670,866","489,703",2023
0,0,"777,206","777,206","227,786",2023
0,0,"246,407","246,407","72,217",2023
0,0,"500,016","500,016","146,546",2023
0,0,"675,386","675,386","197,944",2023
0,0,"1,480,885","1,480,885","434,023",2023
0,0,"148,395","148,395","43,492",2023
0,0,"116,378","116,378","34,108",2023
0,0,"5,732","5,732","1,680",2023
0,0,"415,275","415,275","121,710",2023
0,0,"161,040","161,040","47,198",2023
0,0,"34,814","34,814","10,203",2023
0,0,"300,918","300,918","88,194",2023
0,0,"924,759","924,759","271,031",2023
0,0,"382,327","382,327","112,054",2023
0,0,"344,717","344,717","100,957",2023
0,0,"1,342,721","1,342,721","393,529",2023
0,0,"1,704,951","1,704,951","499,693",2023
0,0,0,0,0,2023
0,0,"77,680","77,680","22,767",2023
0,0,"23,700","23,700","6,946",2023
"2,492","2,492","14,266","14,266","1,631",2023
"3,531,300","3,531,300","3,711,422","3,711,422","424,339",2023
0,0,0,0,0,2023
0,0,"1,331,120","1,331,120","390,129",2023
0,0,0,0,0,2023
0,0,"705,104","705,104","206,654",2023
0,0,"39,900","39,900","11,694",2023
"689,738","689,738",0,0,"-107,414",2023
0,0,0,0,"1,880,107",2023
"36,941,105","36,941,105","38,082,635","38,082,635","3,564,145",2023
0,0,"60,590","60,590","17,758",2023
0,0,"250,610","250,610","73,450",2023
0,0,"22,769","22,769","6,673",2023
0,0,"666,258","666,258","195,269",2023
0,0,"1,178,667","1,178,667","345,448",2023
0,0,"1,379,089","1,379,089","404,188",2023
0,0,"2,388,787","2,388,787","700,113",2023
0,0,"873,788","873,788","256,093",2023
0,0,"937,285","937,285","274,702",2023
0,0,"2,213,267","2,213,267","648,672",2023
0,0,0,0,0,2023
0,0,"1,634,095","1,634,095","478,926",2023
0,0,"1,119","1,119",328,2023
0,0,"685,290","685,290","200,847",2023
0,0,"60,938","60,938","17,860",2023
0,0,"124,754","124,754","36,563",2023
0,0,"7,667","7,667","2,247",2023
0,0,"62,552","62,552","18,333",2023
0,0,"105,979","105,979","31,061",2023
0,0,"1,141,267","1,141,267","334,487",2023
0,0,"15,352,675","15,352,675","4,499,612",2023
0,0,"839,307","839,307","245,987",2023
0,0,"6,142","6,142","1,800",2023
0,0,"279,351","279,351","81,873",2023
0,0,"220,508","220,508","64,627",2023
0,0,"55,015","55,015","16,124",2023
0,0,"243,658","243,658","71,412",2023
0,0,"144,945","144,945","42,481",2023
0,0,"22,767","22,767","6,668",2023
0,0,"278,094","278,094","81,505",2023
0,0,0,0,0,2023
"454,384","454,384","461,696","461,696","37,216",2023
0,0,0,0,0,2023
"4,479,147","4,479,147","73,661,022","73,661,022","6,022,031",2023
0,0,"846,862","846,862","248,201",2023
0,0,"142,550","142,550","41,779",2023
0,0,"31,534","31,534","9,236",2023
"8,254,190","8,254,190","8,489,242","8,489,242","598,254",2023
0,0,0,0,0,2023
0,0,"1,343,650","1,343,650","393,801",2023
0,0,"1,010,545","1,010,545","296,174",2023
0,0,"1,289,770","1,289,770","377,227",2023
0,0,"1,537,814","1,537,814","450,605",2023
0,0,"521,622","521,622","152,879",2023
0,0,"1,726,634","1,726,634","506,047",2023
0,0,"121,580","121,580","35,633",2023
0,0,"89,469","89,469","26,216",2023
0,0,"169,991","169,991","49,822",2023
0,0,"46,751","46,751","13,702",2023
0,0,"32,837","32,837","9,624",2023
0,0,"21,103","21,103","6,185",2023
"1,852,660","1,852,660","1,917,060","1,917,060","167,370",2023
0,0,"2,491","2,491",693,2023
0,0,0,0,-93,2023
0,0,0,0,-86,2023
0,0,"629,613","629,613","184,529",2023
0,0,"569,794","569,794","166,997",2023
"167,896","167,896","173,436","173,436","10,112",2023
0,0,"38,703","38,703","11,343",2023
